Player,Tm,Pos,GP,G,A,+/-,PIM,PP,SH,GW,PP,SH,S,TOI,BLK,HIT,FOW,FOL,-9999
Sam Steel,MIN,C,26,5,2,-2,6,0,0,1,0,0,31,335,5,16,114,120,steelsa01
Alexander Wennberg,SEA,C,26,5,7,-4,6,2,0,0,2,0,37,509,20,18,185,234,wennbal01
Colin White,FLA,C,26,5,6,3,6,0,0,0,0,0,32,313,8,14,24,36,whiteco02
Fabian Zetterlund,NJD,W,22,5,8,11,6,1,0,1,2,0,44,281,6,14,3,6,zettefa01
Rasmus Andersson,CGY,D,27,4,16,-3,12,0,0,3,9,0,56,659,45,25,0,0,anderra01
Josh Archibald,PIT,RW,26,4,2,8,18,0,0,0,0,0,34,269,10,94,1,2,archijo01
Josh Bailey,NYI,C,24,4,5,1,2,0,0,2,2,0,33,363,10,3,18,23,bailejo01
Ivan Barbashev,STL,C,27,4,8,2,13,0,0,1,2,0,43,414,11,57,34,52,barbaiv01
Tyson Barrie,EDM,D,28,4,14,5,12,2,0,0,9,0,49,547,31,19,0,0,barrity01
Jonatan Berggren,DET,RW,13,4,5,0,2,2,0,0,2,0,24,167,8,5,1,0,berggjo02
Brock Boeser,VAN,RW,21,4,12,-13,10,2,0,1,3,0,44,332,8,12,4,11,boesebr01
Derick Brassard,OTT,C,18,4,3,3,10,0,0,1,2,0,36,247,4,35,88,86,brassde01
Michael Bunting,TOR,LW,28,4,15,14,36,0,0,1,2,0,47,437,11,32,1,1,buntimi01
Brent Burns,CAR,D,26,4,15,4,14,2,0,1,7,0,91,617,24,15,0,0,burnsbr01
Jeff Carter,PIT,C,24,4,10,3,12,1,0,1,4,1,44,356,23,27,182,128,carteje01
Yegor Chinakhov,CBJ,RW,25,4,9,-7,10,1,0,0,1,0,37,335,13,25,1,2,chinaye01
Andrew Cogliano,COL,LW,25,4,3,5,4,0,0,0,0,1,36,353,19,16,11,12,coglian01
Paul Cotter,VEG,C,19,4,2,1,8,0,0,1,0,0,26,213,4,55,7,8,cottepa01
Kirby Dach,MTL,C,26,4,15,0,14,1,0,2,6,0,44,451,10,17,20,34,dachki01
