Name,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Name-additional
Aaron Northcraft,SDP,NL,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,northaa01
James Norwood,SDP,NL,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,norwoja01
Jacob Nottingham,TOT,MLB,15,45,40,5,6,1,0,3,6,0,0,2,20,.150,.222,.400,.622,68,16,0,2,0,1,0,nottija01
Jacob Nottingham,MIL,NL,5,14,14,2,3,1,0,2,4,0,0,0,8,.214,.214,.714,.929,137,10,0,0,0,0,0,nottija01
Jacob Nottingham,SEA,AL,10,31,26,3,3,0,0,1,2,0,0,2,12,.115,.226,.231,.457,30,6,0,2,0,1,0,nottija01
Darien Núñez*,LAD,NL,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,nunezda01
Dom Nuñez*,COL,NL,81,263,228,31,43,12,3,10,33,0,0,34,91,.189,.293,.399,.692,75,91,0,0,0,1,4,nunezdo01
Renato Núñez,DET,AL,14,55,53,7,10,3,0,4,7,0,0,1,16,.189,.218,.472,.690,85,25,2,1,0,0,0,nunezre01
Brian O'Grady*,SDP,NL,32,61,51,8,8,3,0,2,9,0,0,8,17,.157,.267,.333,.600,67,17,1,0,1,1,0,ogradbr01
Ryan O'Hearn*,KCR,AL,84,254,236,23,53,5,1,9,29,0,0,13,71,.225,.268,.369,.636,71,87,7,2,0,3,0,ohearry01
Tyler O'Neill,STL,NL,138,537,482,89,138,26,2,34,80,15,4,38,168,.286,.352,.560,.912,148,270,8,13,0,4,0,oneilty01
Bailey Ober,MIN,AL,1,2,2,0,1,0,0,0,0,0,0,0,0,.500,.500,.500,1.000,181,1,0,0,0,0,0,oberba01
Joseph Odom,TBR,AL,2,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,odomjo01
Rougned Odor*,NYY,AL,102,361,322,42,65,12,0,15,39,0,1,27,100,.202,.286,.379,.665,82,122,3,11,1,0,2,odorro01
Jake Odorizzi,HOU,AL,1,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,odorija01
Shohei Ohtani*,LAA,AL,155,639,537,103,138,26,8,46,100,26,10,96,189,.257,.372,.592,.965,157,318,7,4,0,2,20,ohtansh01
Steven Okert*,MIA,NL,32,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,1,0,0,0,0,okertst01
Jared Oliva,PIT,NL,20,43,40,4,7,2,0,0,2,2,0,3,10,.175,.233,.225,.458,25,9,0,0,0,0,1,olivaja01
